               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   8,            0.041261,            0.020592,           0.0079177,             0.63287,             0.53522,             0.57873,             0.30691,            0.041078,            0.012965,           0.0072115,            0.009307,            0.009307,            0.009307
                   9,             0.03986,            0.020106,           0.0065053,             0.74149,             0.63511,             0.71618,             0.39666,            0.039137,            0.011968,           0.0046359,            0.009208,            0.009208,            0.009208
                  10,            0.039166,            0.019975,           0.0066476,             0.77346,             0.62575,             0.71964,             0.38579,            0.040276,            0.012222,           0.0061829,            0.009109,            0.009109,            0.009109
                  11,            0.038484,            0.019731,           0.0059953,             0.78766,             0.63595,             0.73608,             0.40585,            0.039243,            0.011827,           0.0045106,             0.00901,             0.00901,             0.00901
                  12,            0.038503,            0.019994,           0.0056574,             0.73598,             0.69113,             0.74269,             0.41218,            0.039462,            0.011954,           0.0049105,            0.008911,            0.008911,            0.008911
                  13,            0.037923,            0.019371,           0.0055401,             0.75045,             0.64128,             0.71195,             0.39082,            0.039478,            0.012228,           0.0045109,            0.008812,            0.008812,            0.008812
                  14,            0.037637,            0.019573,           0.0055544,             0.76631,             0.64111,              0.7318,             0.42344,            0.039253,            0.011992,           0.0046875,            0.008713,            0.008713,            0.008713
                  15,            0.038061,            0.019767,           0.0050823,             0.77948,             0.67988,             0.74694,              0.4211,            0.038732,            0.011701,           0.0043841,            0.008614,            0.008614,            0.008614
                  16,            0.037197,            0.018932,            0.005113,             0.73401,             0.67292,             0.72429,             0.42483,            0.039332,            0.011761,           0.0050451,            0.008515,            0.008515,            0.008515
                  17,            0.036936,            0.018824,           0.0049925,              0.7601,             0.69219,             0.75282,              0.4223,             0.03947,             0.01174,           0.0045364,            0.008416,            0.008416,            0.008416
                  18,            0.036509,            0.019165,           0.0048399,             0.74583,             0.66138,             0.72816,             0.40396,            0.039209,            0.012321,           0.0044943,            0.008317,            0.008317,            0.008317
                  19,            0.036633,            0.018897,           0.0050954,             0.78719,             0.63928,             0.74152,             0.43241,            0.038111,            0.012176,           0.0048941,            0.008218,            0.008218,            0.008218
                  20,            0.035584,            0.018142,           0.0051955,             0.74452,             0.66909,             0.73104,             0.41627,            0.039021,            0.012151,           0.0048652,            0.008119,            0.008119,            0.008119
                  21,            0.036096,             0.01861,           0.0048387,             0.74647,             0.64426,             0.71753,             0.40649,             0.04005,            0.012349,           0.0064964,             0.00802,             0.00802,             0.00802
                  22,             0.03639,            0.018911,           0.0047766,              0.7652,             0.66386,             0.74683,             0.42874,            0.039348,            0.011757,           0.0047682,            0.007921,            0.007921,            0.007921
                  23,            0.035562,            0.018805,           0.0046202,              0.7293,             0.63081,              0.6844,             0.38774,            0.039592,            0.011993,             0.00647,            0.007822,            0.007822,            0.007822
                  24,            0.034728,            0.018105,           0.0048249,             0.69393,             0.60868,              0.6645,             0.38092,            0.040211,            0.013173,            0.005579,            0.007723,            0.007723,            0.007723
                  25,             0.03532,            0.018379,           0.0045114,             0.72554,             0.68242,             0.72691,              0.4163,            0.038365,            0.011814,           0.0047622,            0.007624,            0.007624,            0.007624
                  26,            0.034821,            0.018463,           0.0047986,             0.77666,              0.6913,             0.76438,             0.45153,            0.038608,             0.01174,           0.0049403,            0.007525,            0.007525,            0.007525
                  27,            0.034635,            0.018165,           0.0044087,             0.73753,             0.66414,             0.72624,             0.41728,            0.039798,            0.012364,           0.0057586,            0.007426,            0.007426,            0.007426
                  28,            0.034901,            0.018541,           0.0042431,             0.72575,             0.72114,              0.7564,             0.43971,            0.038094,            0.011407,           0.0044506,            0.007327,            0.007327,            0.007327
                  29,            0.034669,            0.017749,           0.0043618,             0.72681,             0.69656,             0.74066,             0.43182,             0.03815,            0.011554,           0.0054717,            0.007228,            0.007228,            0.007228
                  30,            0.033876,            0.017841,           0.0042149,             0.75855,              0.6718,             0.74758,             0.42515,             0.03876,            0.012003,           0.0047613,            0.007129,            0.007129,            0.007129
                  31,            0.034568,            0.018027,           0.0042957,             0.73334,             0.68439,              0.7389,             0.42526,            0.038639,            0.011977,           0.0054628,             0.00703,             0.00703,             0.00703
                  32,            0.033592,            0.017822,           0.0042438,              0.7768,              0.6887,              0.7607,              0.4382,            0.038883,            0.011613,            0.004642,            0.006931,            0.006931,            0.006931
                  33,            0.033753,            0.017794,           0.0045265,              0.8272,             0.63888,             0.74491,             0.43184,            0.039013,            0.011955,            0.004779,            0.006832,            0.006832,            0.006832
                  34,            0.034097,            0.017412,           0.0037624,             0.80865,             0.69942,             0.77541,             0.45811,            0.038566,            0.011612,           0.0043042,            0.006733,            0.006733,            0.006733
                  35,            0.033962,            0.017179,           0.0042277,             0.77227,             0.66581,             0.74536,             0.43299,            0.038492,            0.011996,           0.0045191,            0.006634,            0.006634,            0.006634
                  36,            0.033239,            0.017189,           0.0037457,             0.72442,             0.70843,             0.74461,             0.43777,            0.038234,            0.011808,           0.0049706,            0.006535,            0.006535,            0.006535
                  37,            0.033254,            0.017987,           0.0041326,             0.78734,             0.70497,             0.76812,             0.45607,            0.037935,            0.011994,           0.0046713,            0.006436,            0.006436,            0.006436
                  38,            0.032918,            0.016964,           0.0037382,             0.77515,             0.68835,             0.75662,             0.44583,            0.037909,            0.012084,           0.0046614,            0.006337,            0.006337,            0.006337
                  39,            0.033027,            0.017812,           0.0041982,             0.82665,             0.68236,             0.77158,             0.45388,            0.038422,            0.011893,           0.0049089,            0.006238,            0.006238,            0.006238
                  40,            0.032351,            0.016879,           0.0042903,             0.81677,             0.64636,             0.74116,             0.43033,            0.039414,            0.012278,           0.0047085,            0.006139,            0.006139,            0.006139
                  41,            0.032761,            0.017195,           0.0038079,             0.77058,             0.65226,             0.72764,             0.42221,             0.04018,            0.012899,           0.0051228,             0.00604,             0.00604,             0.00604
                  42,            0.032487,            0.017018,           0.0036215,             0.79507,             0.67694,             0.75565,             0.44801,            0.037775,            0.012079,           0.0042767,            0.005941,            0.005941,            0.005941
                  43,            0.032551,            0.017239,           0.0035189,             0.77849,              0.7361,             0.78127,             0.47245,            0.037606,            0.011606,           0.0043966,            0.005842,            0.005842,            0.005842
                  44,            0.031754,            0.017105,            0.003709,              0.7625,             0.71694,             0.77217,             0.45956,            0.037986,            0.011837,           0.0050886,            0.005743,            0.005743,            0.005743
                  45,            0.032193,            0.016695,           0.0035326,              0.8325,             0.66234,             0.75807,             0.46081,             0.03812,            0.012294,           0.0049983,            0.005644,            0.005644,            0.005644
                  46,            0.031151,            0.016512,           0.0035639,             0.79973,             0.69919,             0.77162,             0.46039,            0.038241,            0.011921,           0.0045852,            0.005545,            0.005545,            0.005545
                  47,            0.031587,            0.016926,            0.003205,             0.79949,             0.65603,             0.75252,             0.43901,            0.038235,            0.011997,           0.0049043,            0.005446,            0.005446,            0.005446
                  48,            0.031595,            0.016735,           0.0035633,             0.75606,              0.6759,             0.74681,             0.45072,            0.037864,            0.012183,           0.0049035,            0.005347,            0.005347,            0.005347
                  49,             0.03181,            0.016614,           0.0040687,             0.76602,             0.68509,              0.7418,             0.43914,             0.03903,              0.0122,           0.0061003,            0.005248,            0.005248,            0.005248
                  50,            0.031657,            0.016952,           0.0038467,             0.76759,             0.70855,             0.75628,             0.45042,            0.038561,            0.011821,           0.0046341,            0.005149,            0.005149,            0.005149
                  51,             0.03124,            0.016572,           0.0033121,             0.80296,             0.67684,             0.77235,             0.46266,            0.037706,            0.011866,           0.0045305,             0.00505,             0.00505,             0.00505
                  52,            0.031217,             0.01685,           0.0033071,             0.82001,             0.69077,              0.7769,             0.47665,            0.037144,            0.011896,            0.004113,            0.004951,            0.004951,            0.004951
                  53,            0.030728,            0.016305,            0.003513,             0.77036,             0.70651,             0.77359,             0.46817,            0.037596,            0.011571,           0.0046925,            0.004852,            0.004852,            0.004852
                  54,            0.030495,            0.016193,           0.0033679,             0.81323,             0.70669,             0.78628,             0.48544,            0.038031,            0.012029,            0.004473,            0.004753,            0.004753,            0.004753
                  55,            0.030556,             0.01611,            0.003062,             0.78312,             0.71438,             0.78567,             0.47116,            0.037969,            0.012439,           0.0043729,            0.004654,            0.004654,            0.004654
                  56,            0.030381,            0.016239,           0.0030579,             0.79704,             0.72058,             0.79165,             0.47838,            0.037696,            0.011768,           0.0043383,            0.004555,            0.004555,            0.004555
                  57,             0.03032,            0.016386,           0.0031492,             0.81617,             0.69894,             0.78155,             0.47049,            0.037662,            0.012053,           0.0042871,            0.004456,            0.004456,            0.004456
                  58,            0.029874,            0.016244,           0.0031092,             0.79987,             0.70696,             0.76765,             0.46712,            0.037233,            0.012073,           0.0041351,            0.004357,            0.004357,            0.004357
                  59,            0.029668,              0.0163,            0.003127,             0.82565,             0.69598,             0.77277,              0.4737,            0.037636,            0.011872,           0.0044421,            0.004258,            0.004258,            0.004258
                  60,            0.029417,            0.016139,            0.002934,             0.80271,             0.71882,             0.78285,             0.48703,            0.037089,            0.011764,           0.0043522,            0.004159,            0.004159,            0.004159
                  61,             0.02992,            0.016366,           0.0031601,             0.82765,              0.7097,             0.78989,             0.48376,            0.037576,            0.011881,           0.0044618,             0.00406,             0.00406,             0.00406
                  62,            0.029699,            0.016012,           0.0029143,             0.83606,             0.70518,             0.79161,              0.4845,            0.037938,            0.012105,           0.0046421,            0.003961,            0.003961,            0.003961
                  63,             0.02931,             0.01589,           0.0028468,             0.81847,             0.70242,             0.78884,             0.49251,            0.037066,            0.011618,           0.0044677,            0.003862,            0.003862,            0.003862
                  64,            0.029234,            0.015633,           0.0032031,             0.82383,             0.70961,             0.78799,             0.49179,            0.037417,            0.012039,           0.0043036,            0.003763,            0.003763,            0.003763
                  65,            0.029302,            0.015795,            0.002613,             0.81253,             0.70606,             0.78123,             0.48569,            0.037124,            0.011951,           0.0041637,            0.003664,            0.003664,            0.003664
                  66,            0.028991,            0.015532,           0.0030276,             0.79794,             0.71931,             0.78249,             0.47709,             0.03707,            0.011702,            0.004047,            0.003565,            0.003565,            0.003565
                  67,            0.028769,            0.015519,           0.0030762,             0.83872,             0.69639,              0.7831,             0.47996,            0.037132,            0.011798,           0.0042297,            0.003466,            0.003466,            0.003466
                  68,            0.028896,            0.015658,           0.0028881,             0.78996,             0.74087,             0.78278,             0.48035,            0.037509,            0.011879,           0.0043212,            0.003367,            0.003367,            0.003367
                  69,            0.028662,            0.015345,           0.0028227,             0.83913,             0.70551,             0.79693,             0.49428,            0.037312,            0.011844,           0.0041696,            0.003268,            0.003268,            0.003268
                  70,            0.028097,            0.015725,           0.0026225,             0.81561,             0.72264,             0.79474,             0.49584,            0.037213,            0.011927,           0.0042244,            0.003169,            0.003169,            0.003169
                  71,            0.028697,             0.01543,           0.0029101,             0.79034,             0.73253,             0.79266,             0.48486,            0.037334,            0.012025,           0.0041881,             0.00307,             0.00307,             0.00307
                  72,            0.028168,            0.014993,           0.0027768,             0.83342,             0.71061,             0.79576,              0.4963,            0.037031,            0.011793,           0.0043576,            0.002971,            0.002971,            0.002971
                  73,            0.028909,            0.015552,           0.0027475,             0.82397,             0.70479,             0.79229,             0.49198,            0.037093,            0.011653,           0.0042933,            0.002872,            0.002872,            0.002872
                  74,            0.028052,            0.015011,           0.0027332,             0.82197,             0.71975,             0.80038,             0.50243,            0.036593,            0.011693,           0.0040315,            0.002773,            0.002773,            0.002773
                  75,            0.027987,            0.015013,           0.0028306,             0.79866,             0.74036,             0.80453,             0.50524,            0.037076,            0.011933,           0.0042424,            0.002674,            0.002674,            0.002674
                  76,             0.02778,            0.015124,           0.0023894,             0.83402,             0.72725,             0.80234,             0.50051,            0.036997,            0.011944,           0.0041021,            0.002575,            0.002575,            0.002575
                  77,            0.027471,            0.014874,            0.002617,             0.79269,             0.73573,             0.78514,             0.48696,            0.036892,            0.011868,           0.0040622,            0.002476,            0.002476,            0.002476
                  78,            0.028155,            0.014794,           0.0027798,             0.83849,               0.711,             0.79499,             0.50447,            0.037182,            0.012096,           0.0042129,            0.002377,            0.002377,            0.002377
                  79,            0.027645,            0.014897,            0.002419,             0.83532,               0.714,             0.79934,             0.50294,            0.037075,            0.012018,            0.004276,            0.002278,            0.002278,            0.002278
                  80,            0.027898,            0.014922,           0.0026007,             0.80326,             0.73599,             0.79739,             0.50098,            0.036819,            0.011718,           0.0042569,            0.002179,            0.002179,            0.002179
                  81,            0.027168,            0.014243,           0.0024425,             0.84755,             0.72645,             0.81052,             0.51117,            0.037391,            0.011952,           0.0042399,             0.00208,             0.00208,             0.00208
                  82,            0.026927,            0.015052,           0.0023727,             0.79509,             0.74944,              0.8013,             0.50221,            0.036909,            0.011743,           0.0042084,            0.001981,            0.001981,            0.001981
                  83,            0.027162,            0.014846,           0.0023192,             0.81126,             0.74274,             0.80486,             0.50892,              0.0367,            0.011893,           0.0044154,            0.001882,            0.001882,            0.001882
                  84,            0.026764,            0.014382,             0.00248,             0.81534,             0.73394,             0.79377,             0.50215,              0.0369,            0.012034,           0.0043485,            0.001783,            0.001783,            0.001783
                  85,            0.026743,             0.01433,           0.0023905,             0.81288,             0.72967,             0.79696,             0.50545,            0.037241,             0.01208,           0.0042819,            0.001684,            0.001684,            0.001684
                  86,            0.026718,            0.014319,           0.0025271,             0.79788,             0.75273,             0.80174,             0.51059,            0.036746,            0.011817,           0.0041642,            0.001585,            0.001585,            0.001585
                  87,            0.026317,            0.014604,           0.0023161,             0.80236,             0.74129,             0.79324,             0.50316,              0.0369,            0.012069,           0.0041599,            0.001486,            0.001486,            0.001486
                  88,            0.026519,            0.014314,           0.0020603,             0.82255,             0.73201,             0.80043,             0.50852,            0.036622,            0.012094,           0.0043339,            0.001387,            0.001387,            0.001387
                  89,            0.026731,            0.014346,           0.0024996,             0.82624,             0.73061,              0.8041,             0.51208,            0.036811,            0.011885,           0.0044631,            0.001288,            0.001288,            0.001288
                  90,              0.0262,             0.01419,            0.002342,             0.83226,             0.73618,             0.81026,              0.5119,            0.036679,            0.011818,            0.004319,            0.001189,            0.001189,            0.001189
                  91,            0.026355,            0.014564,           0.0025862,             0.83684,             0.73213,             0.81091,             0.51487,             0.03687,            0.012002,           0.0042195,             0.00109,             0.00109,             0.00109
                  92,              0.0259,            0.014619,           0.0023291,             0.82467,             0.73296,             0.81049,             0.51172,            0.037079,            0.011953,           0.0043877,            0.000991,            0.000991,            0.000991
                  93,             0.02583,            0.014159,           0.0021748,             0.83636,             0.73727,             0.80573,             0.51078,            0.036876,            0.011967,           0.0044047,            0.000892,            0.000892,            0.000892
                  94,            0.025664,            0.014408,           0.0021452,             0.84579,             0.73518,             0.80544,              0.5118,            0.036767,            0.012031,           0.0043205,            0.000793,            0.000793,            0.000793
                  95,            0.025892,            0.013918,           0.0021392,             0.83907,             0.73358,              0.8051,              0.5134,            0.036711,            0.012078,           0.0041399,            0.000694,            0.000694,            0.000694
                  96,            0.026011,            0.014299,           0.0023276,             0.82816,             0.75076,             0.80856,              0.5134,             0.03661,            0.011873,           0.0041289,            0.000595,            0.000595,            0.000595
                  97,            0.026034,            0.014525,           0.0021782,             0.84764,             0.73029,             0.80549,             0.51318,            0.036782,            0.011987,           0.0043504,            0.000496,            0.000496,            0.000496
                  98,            0.025498,            0.013795,           0.0022409,             0.83933,             0.73262,             0.80728,             0.51495,            0.036783,            0.011933,           0.0043649,            0.000397,            0.000397,            0.000397
                  99,            0.025625,            0.013765,           0.0020974,             0.82319,              0.7411,              0.8054,             0.51787,            0.036745,            0.011978,           0.0044606,            0.000298,            0.000298,            0.000298
